yanImljiva	Aspfsny	yanimljiv
prImer	Ncmsan	primer
jAje	Ncnsn	jaje
Ono	Pd-nsn	onaj
crvEno	Agpnsny	crven
.	Z	.

tO	Pdsn	taj
je	Var3s	biti
dvA	Mlc	dva
dAna	Ncmsg	dan
prEd	Sa	pred
.	Z	.

dvA	Mlc	dva
ili	Cc	ili
trI	Mlc	tri
dAna	Ncmsg	dan
.	Z	.

da	Cs	da
na	Sa	na
vEliki	Agpmsayn	velik
pEtak	Ncmsan	petak
i	Cc	i
Onda	Rgp	onda
pOsle	Rgp	posle
se	Pxsa	sebe
čEka	Vmr3s	čekati
do	Sg	do
nEdelju	Ncfsa	nedelja
ponEdeljak	Ncmsan	ponedeljak
.	Z	.

da	Cs	da
ih	Pp3a	oni
jEdemo	Vmr1p	jesti
((laugh))	X	((laugh))
.	Z	.

pa	Cc	pa
za	Sa	za
tA	Pdpa	taj
jAja	Ncnpa	jaje
perAške	Ncfpn	peraška
.	Z	.

Onda	Rgp	onda
.	Z	.

na	Sa	na
prImer	Ncmsan	primer
ne	Qz	ne
kAžu	Vmr3p	kazati
ne	Qz	ne
kAžemo	Vmr1p	kazati
.	Z	.

da	Cs	da
se	Pxsa	sebe
fArbau	Ncfpn	farbaa
jA	Pp1-sn	ja
nEgo	Cc	nego
nEko	Pi-nsn	neki
kAže	Vmr3s	kazati
da	Cs	da
se	Px--sa	sebe
načIne	Vmr3p	načiniti
.	Z	.

u	Sl	u
Onda	Rgp	onda
većIna	Ncfsn	većina
.	Z	.

((?))	X	((?))
ne	Qz	ne
fArba	Vmr3s	farbati
jAja	Ncnpa	jaje
u	Sa	u
bOje	Ncfpa	boja
.	Z	.

i	Cc	i
s	Si	sa
Onim	Pdsi	onaj
pAstelnim	Agpfpdy	pastelni
bOjama	Ncfpd	boja
.	Z	.

nEgo	Cc	nego
u	Sa	u
lukovInje	Ncfpa	lukovinja
.	Z	.

se	Px--sa	sebe
kUvaju	Vmr3p	kuvati
.	Z	.

sa	Si	sa
Onom	Pdsi	onaj
stAvi	Vmr3s	staviti
se	Px--sa	sebe
.	Z	.

jAje	Ncnsn	jaje
pa	Cc	pa
Onda	Rgp	onda
na	Sa	na
njEga	Pp3msg	on
trAva	Ncfsn	trava
da	Cs	da
se	Pxsa	sebe
ocRta	Vmr3s	ocrtati
i	Cc	i
stAvi	Vmr3s	staviti
se	Px--sa	sebe
u	Sa	u
čarApu	Ncfsa	čarapa
.	Z	.

i	Cc	i
Onda	Rgp	onda
se	Px--sa	sebe
sIpa	Vmr3s	sipati
vOda	Ncfsn	voda
i	Cc	i
stAvi	Vmr3s	staviti
se	Px--sa	sebe
od	Sg	od
lUka	Ncmsg	luk
.	Z	.

onE	Pp3fpn	oni
.	Z	.

Ono	Pd-nsn	onaj
Okolo	Rgp	okolo
njEgovo	X	njEgovo
štO	Cs	što
je	Var3s	biti
Ona	Pp3fsn	on
njEgova	Ps3fsn	njegov
Opna	Ncfsn	opna
da	Cs	da
.	Z	.

štA	Pi3n-a	što
jOš	Rgp	još
Ima	Vmr3s	imati
.	Z	.

pa	Cc	pa
mI	Pp1-pn	ja
ne	Qz	ne
.	Z	.

Ostaje	Vmr3s	ostajati
Ono	Pd-nsn	onaj
pRvo	Rgp	prvo
crvEno	Agpnsny	crven
štO	Pi3n	što
se	Pxsa	sebe
načIni	Vmr3s	načiniti
u	Sa	u
vEliki	Agpmsayn	velik
pEtak	Ncmsan	petak
.	Z	.

i	Cc	i
Ostaje	Vmr3s	ostajati
do	Sg	do
sledEći	Agpmsny	sledeći
vEliki	Agpmsny	velik
pEtak	Ncmsn	petak
nAredne	Agpfsgy	naredan
gOdine	Ncfsg	godina
.	Z	.

i	Cc	i
štƏ	Pp1-pn	štƏ
stAvimo	Vmr1p	staviti
ga	Pp3msa	on
.	Z	.

u	Sa	u
onU	Pd-fsa	onaj
kUćicu	Ncfsa	kućica
štO	Cs	što
imA	Vmr3s	imati
za	Sa	za
njEga	Pp3msa	on
čuvAr	Ncmsn	čuvar
kUće	Ncfsg	kuća
.	Z	.

i	Cc	i
tAko	Rgp	tako
stojI	Vmr3s	stajati
i	Cc	i
Onda	Rgp	onda
sledEće	Agpfpny	sledeći
gOdine	Ncfpn	godina
.	Z	.

((?))	X	((?))
.	Z	.

tO	Pdsn	taj
znAm	Vmr1s	znati
da	Cs	da
je	Var3s	biti
u	Sa	u
mOje	Ps1nsa	moj
sElo	Ncnsa	selo
tAko	Rgp	tako
da	Cs	da
se	Px--sa	sebe
prAktikuje	Vmr3s	praktikovati
se	Pxsa	sebe
bAci	Vmr3s	baciti
nIz	Sa	niz
vOdu	Ncfsa	voda
u	Sl	u
rEku	Ncfsa	reka
.	Z	.

pOšto	Cs	pošto
je	Var3s	biti
mOje	Mlonsa	moji
sElo	Ncnsa	selo
((?))	X	((?))
.	Z	.

kakO	Cs	kako
je	Var3s	biti
kUća	Ncfsn	kuća
Odma	Rgp	odmah
Ispod	Sg	ispod
jEdno	Mlcnsn	jedan
stO	Ncmsn	stol
mEtra	Ncmsg	metar
je	Var3s	biti
rEka	Ncfsn	reka
tU	Rgp	tu
Ide	Vmr3s	ići
.	Z	.

Ise	Aspfsny	is
rEka	Ncfsn	reka
.	Z	.

dUž	Sg	duž
sEla	Ncnsg	selo
krOz	Sa	kroz
cElo	Agpnsay	ceo
sElo	Ncnsa	selo
prOlazi	Vmr3s	prolaziti
.	Z	.

e	I	e
tO	Pd-nsn	taj
bAš	Rgp	baš
ne	Qz	ne
znAm	Vmr1s	znati
.	Z	.

za	Sa	za
tO	Pdsa	taj
nIsam	Var1s	biti
sIgurna	Agpfsny	siguran
mIsim	Vmr1s	misliti
z/	X	z/
znAm	Vmr1s	znati
da	Cs	da
tO	Pd-nsn	taj
Uvek	Rgp	uvek
svAke	Pisg	svaki
gOdine	Ncfpn	godina
rAde	Vmr3p	raditi
ali	Cc	ali
ne	Qz	ne
znAm	Vmr1s	znati
zAšto	Cs	zašto
.	Z	.

pa	Cc	pa
ne	Qz	ne
znAm	Vmr1s	znati
štA	Pi3n-a	što
mOž	Rgp	možda
tAčno	Agpnsny	tačan
.	Z	.

aa	Cc	a
tAd	Rgp	tad
.	Z	.

pa	Cc	pa
na	Sa	na
prImer	Ncmsan	primer
.	Z	.

mOji	Ps1mpn	moj
ni/	Npmpn	ni
mOj	Ps1msn	moj
bAba	Ncfsn	baba
i	Cc	i
deda	Ncmsn	deda
.	Z	.

((?))	X	((?))
su	Var3p	biti
se	Px--sa	sebe
.	Z	.

vEnčali	Vmp-pm	venčati
.	Z	.

((?))	X	((?))
šə/	Npmsn	šə/
.	Z	.

tIme	Pdsi	taj
štO	Pi3n	što
