sEdnite	Agpmpay-t	sedn
svInje	Ncfsa	svinja
••	X	••
svAšta	Pi3n-n	svašta
.	Z	.

smo	Var1p	biti
rabotIli	Vmp-pm	rabotati
.	Z	.

decA	Ncnpn	dete
.	Z	.

Oćemo	Npmsn	Oćemo
.	Z	.

svAki	Pi-msn	svaki
si	Px--sd	sebe
svOe	Ncfpn	svoa
.	Z	.

pUštiš	Qr	pUštiš
i	Cc	i
pa	Cc	pa
si	Px--sd	sebe
tEraš	Vmr2s	terati
čUvaš	Vmr2s	čuvati
.	Z	.

mI	Pp1-pn	ja
kƏd	Rgp	kəd
smo	Var1p	biti
bIle	Vmp-pf	biti
mAlečki	Npmpn	mAlečki
•	X	•
brAt	Ncmsn	brat
i	Cc	i
jA	Pp1-sn	ja
Oba	Pp1-sn	Oba
pOsle	Rgp	posle
sam	Var1s	biti
počEla	Vmp-sf	početi
jA	Pp1-sn	ja
pO	Sa	po
stara	Ncmsay	star
.	Z	.

brAt	Ncmsn	brat
ne	Qz	ne
.	Z	.

i	Cc	i
takO	Rgp	tako
bIlo	Vcp-sn	biti
.	Z	.

pa	Cc	pa
skUpimo	Vmr1p	skupiti
se	Px--sa	sebe
decAa	Ncfpn	decaa
Ono	Pd-nsn	onaj
decA	Ncnpn	dete
svE	Qo	sve
čuvAla	Vmp-sf	čuvati
tƏg	Rgp	tako
i	Cc	i
ponEki	Pi-mpn	poneki
stArac	Ncmsn	starac
.	Z	.

ali	Cc	ali
decAa	Vmm2s	decati
•	X	•
Igramo	Vmr1p	igrati
se	Px--sa	sebe
tam	Rgp	tamo
••	X	••
gde	Rgp	gde
čUvamo	Vmr1p	čuvati
Ovce	Ncfpn	ovca
po	Sl	po
utrIne	Ncfpa	utrina
po	Sl	po
.	Z	.

ne	Qz	ne
glEdamo	Vmr1p	gledati
da	Cs	da
i	Cc	i
napasEmo	Vmr1p	napaseti
nego	Cc	nego
da	Cs	da
se	Pxsa	sebe
Igramo	Vmr1p	igrati
((laugh))	X	((laugh))
.	Z	.

jAo	I	jao
sIne	Ncmsv	sin
sIne	Ncmsv	sin
mUke	Ncfpa	muka
bIle	Vmp-pf	biti
.	Z	.

nikakO	Rgp	nikako
.	Z	.

u	I	u
Eto	I	eto
svAkakvo	Pi-nsn	svakakav
bilO	Vmp-sn	biti
••	X	••
na	Sa	na
onOj	Pd-msn	onaj
jAko	Rgp	jako
smo	Var1p	biti
se	Px--sa	sebe
igrAli	Vmp-pm	igrati
.	Z	.

na	Sa	na
džOljku	Npfsa	džOljka
nekAkvo	Pi-nsa	nekakav
smo	Var1p	biti
ga	Pp3msa	on
zvAli	Vmp-pm	zvati
edAn	Mlcmsn	jedan
vrljAt	Xf	vrljAt
Uvde	Xf	Uvde
dRvce	Ncnsn	drvce
Edan	Mlcmsn	jedan
ga	Pp3msa	on
udAra	Vmr3s	udarati
.	Z	.

kUtamo	Npmsn	kUtamo
se	Pxsa	sebe
Igramo	Vmr1p	igrati
se	Px--sa	sebe
